date,signal
2020-12-05,0.0
2020-12-07,1.0
2020-12-08,1.0
2020-12-10,0.0
2020-12-11,0.0
2020-12-14,-1.0
2020-12-15,0.0
2020-12-16,0.0
2020-12-17,0.0
2020-12-18,0.0
2020-12-19,0.0
2020-12-20,0.0
2020-12-21,0.0
2020-12-22,0.0
2020-12-24,-1.0
2020-12-25,1.0
2020-12-26,0.0
2020-12-28,-1.0
2020-12-29,0.0
2020-12-30,0.0
2020-12-31,0.0
2021-01-01,0.0
2021-01-02,0.0
2021-01-03,0.0
2021-01-04,0.0
2021-01-05,0.0
2021-01-06,0.0
2021-01-10,-1.0
2021-01-12,0.0
2021-01-13,0.0
2021-01-14,1.0
2021-01-19,0.0
2021-01-20,-1.0
2021-01-21,-1.0
2021-01-22,0.0
2021-01-25,0.0
2021-01-27,-1.0
2021-01-28,1.0
2021-01-29,-1.0
2021-01-30,-1.0
2021-02-01,1.0
2021-02-02,0.0
2021-02-03,1.0
2021-02-04,1.0
2021-02-05,1.0
2021-02-06,0.0
2021-02-07,0.0
2021-02-08,1.0
2021-02-09,-1.0
2021-02-10,1.0
2021-02-11,0.0
2021-02-12,1.0
2021-02-13,-1.0
2021-02-15,0.0
2021-02-16,-1.0
2021-02-17,1.0
2021-02-18,0.0
2021-02-19,-1.0
2021-02-20,1.0
2021-02-22,-1.0
2021-02-23,1.0
2021-02-24,1.0
2021-02-25,0.0
2021-02-26,1.0
2021-02-28,0.0
2021-03-01,1.0
2021-03-02,-1.0
2021-03-03,0.0
2021-03-04,1.0
2021-03-05,0.0
2021-03-08,0.0
2021-03-09,-1.0
2021-03-10,-1.0
2021-03-11,0.0
2021-03-12,-1.0
2021-03-13,0.0
2021-03-15,-1.0
2021-03-16,1.0
2021-03-17,1.0
2021-03-18,0.0
2021-03-19,1.0
2021-03-20,-1.0
2021-03-22,-1.0
